                   │ bench-binsearch.txt │          bench-bsearch.txt          │
                   │       sec/op        │    sec/op     vs base               │
Search/32-8                  6.816n ± 0%   11.925n ± 4%  +74.97% (p=0.000 n=8)
Search/1024-8                44.29n ± 0%    40.91n ± 2%   -7.64% (p=0.000 n=8)
Search/8192-8                59.51n ± 0%    71.48n ± 2%  +20.12% (p=0.000 n=8)
Search/262144-8              128.4n ± 0%    145.8n ± 2%  +13.59% (p=0.000 n=8)
Search/2097152-8             203.6n ± 1%    223.5n ± 1%   +9.75% (p=0.000 n=8)
Search/8388608-8             405.9n ± 0%    406.4n ± 1%        ~ (p=0.798 n=8)
Search/33554432-8            552.1n ± 0%    529.4n ± 0%   -4.11% (p=0.000 n=8)
Search/67108864-8            634.8n ± 0%    604.1n ± 0%   -4.82% (p=0.000 n=8)
Search/134217728-8           714.7n ± 1%    680.8n ± 1%   -4.74% (p=0.000 n=8)
Search/268435456-8           826.5n ± 1%    793.3n ± 1%   -4.02% (p=0.000 n=8)
Search/536870912-8           929.9n ± 0%    913.8n ± 1%   -1.73% (p=0.007 n=8)
geomean                      210.9n         224.5n        +6.44%
