With CLFLUSHOPT before each search, -test.benchtime=20ms.

              │ bench-binsearch.txt │          bench-bsearch.txt          │            bench-opt.txt            │
              │       sec/op        │    sec/op     vs base               │    sec/op     vs base               │
Search/1K-8             198.8n ± 1%    207.8n ± 6%   +4.50% (p=0.010 n=8)    209.1n ± 6%   +5.15% (p=0.000 n=8)
Search/2K-8             218.5n ± 1%    259.2n ± 8%  +18.62% (p=0.000 n=8)    251.1n ± 4%  +14.87% (p=0.000 n=8)
Search/4K-8             242.2n ± 0%    290.2n ± 4%  +19.82% (p=0.000 n=8)    284.1n ± 8%  +17.34% (p=0.000 n=8)
Search/32K-8            335.4n ± 1%    381.9n ± 0%  +13.85% (p=0.000 n=8)    366.6n ± 1%   +9.30% (p=0.000 n=8)
Search/256K-8           498.3n ± 1%    521.3n ± 1%   +4.61% (p=0.000 n=8)    504.7n ± 1%   +1.28% (p=0.005 n=8)
Search/1M-8             601.5n ± 0%    598.4n ± 0%   -0.52% (p=0.019 n=8)    603.9n ± 1%   +0.39% (p=0.047 n=8)
Search/2M-8             650.8n ± 1%    648.5n ± 1%        ~ (p=0.234 n=8)    654.9n ± 1%        ~ (p=0.080 n=8)
Search/4M-8             715.1n ± 1%    671.3n ± 4%   -6.13% (p=0.000 n=8)    725.1n ± 1%   +1.39% (p=0.000 n=8)
Search/8M-8             766.6n ± 0%    751.5n ± 1%   -1.97% (p=0.000 n=8)    796.4n ± 1%   +3.89% (p=0.000 n=8)
Search/32M-8            961.8n ± 1%   1102.0n ± 0%  +14.58% (p=0.000 n=8)   1050.5n ± 1%   +9.22% (p=0.000 n=8)
Search/256M-8           1.096µ ± 1%    1.336µ ± 2%  +21.90% (p=0.000 n=8)    1.239µ ± 1%  +13.05% (p=0.000 n=8)
Search/1G-8             1.337µ ± 0%    1.592µ ± 1%  +19.08% (p=0.000 n=8)    1.477µ ± 1%  +10.51% (p=0.000 n=8)
geomean                 533.5n         579.3n        +8.58%                  571.4n        +7.10%
