              │ bench-binsearch.txt │          bench-bsearch.txt           │           bench-opt.txt            │
              │       sec/op        │    sec/op     vs base                │   sec/op     vs base               │
Search/1K-8             10.92n ± 2%    24.91n ± 4%  +127.96% (p=0.000 n=8)   14.20n ± 4%  +29.93% (p=0.000 n=8)
Search/2K-8             34.91n ± 0%    28.16n ± 4%   -19.32% (p=0.000 n=8)   27.42n ± 0%  -21.46% (p=0.000 n=8)
Search/4K-8             44.35n ± 0%    43.32n ± 3%    -2.31% (p=0.006 n=8)   40.28n ± 0%   -9.18% (p=0.000 n=8)
Search/32K-8            59.46n ± 0%    69.78n ± 1%   +17.36% (p=0.000 n=8)   59.93n ± 0%   +0.79% (p=0.000 n=8)
Search/256K-8           85.43n ± 0%   102.25n ± 1%   +19.69% (p=0.000 n=8)   85.41n ± 1%        ~ (p=0.699 n=8)
Search/1M-8             129.9n ± 1%    142.2n ± 2%    +9.51% (p=0.000 n=8)   121.5n ± 0%   -6.51% (p=0.000 n=8)
Search/2M-8             148.6n ± 1%    161.1n ± 1%    +8.41% (p=0.000 n=8)   138.8n ± 1%   -6.56% (p=0.000 n=8)
Search/4M-8             167.2n ± 2%    173.2n ± 2%    +3.59% (p=0.000 n=8)   156.2n ± 1%   -6.52% (p=0.000 n=8)
Search/8M-8             203.6n ± 1%    230.7n ± 3%   +13.28% (p=0.000 n=8)   184.5n ± 0%   -9.38% (p=0.000 n=8)
Search/32M-8            408.7n ± 1%    425.8n ± 0%    +4.18% (p=0.000 n=8)   363.1n ± 0%  -11.16% (p=0.000 n=8)
Search/256M-8           612.5n ± 1%    611.5n ± 0%         ~ (p=0.777 n=8)   597.5n ± 1%   -2.46% (p=0.000 n=8)
Search/1G-8             808.3n ± 3%    804.0n ± 1%         ~ (p=0.152 n=8)   763.5n ± 3%   -5.55% (p=0.000 n=8)
geomean                 122.5n         136.4n        +11.36%                 116.8n        -4.64%
