              │ bench-binsearch.txt │          bench-bsearch.txt           │            bench-opt.txt            │           bench-quad.txt            │
              │       sec/op        │    sec/op     vs base                │    sec/op     vs base               │   sec/op     vs base                │
Search/1K-8             10.53n ± 2%    25.05n ± 4%  +137.84% (p=0.000 n=8)    14.15n ± 6%  +34.38% (p=0.000 n=8)   22.21n ± 1%  +110.92% (p=0.000 n=8)
Search/2K-8             35.04n ± 0%    28.40n ± 6%   -18.94% (p=0.000 n=8)    26.93n ± 0%  -23.13% (p=0.000 n=8)   25.95n ± 0%   -25.95% (p=0.000 n=8)
Search/4K-8             44.46n ± 0%    43.40n ± 3%         ~ (p=0.424 n=8)    40.07n ± 0%   -9.86% (p=0.000 n=8)   28.84n ± 0%   -35.12% (p=0.000 n=8)
Search/32K-8            59.41n ± 0%    69.75n ± 2%   +17.42% (p=0.000 n=8)    59.89n ± 3%   +0.81% (p=0.000 n=8)   37.21n ± 1%   -37.35% (p=0.000 n=8)
Search/256K-8           86.70n ± 0%   103.05n ± 1%   +18.85% (p=0.000 n=8)    85.44n ± 0%   -1.46% (p=0.000 n=8)   60.87n ± 0%   -29.80% (p=0.000 n=8)
Search/1M-8            128.55n ± 0%   142.65n ± 1%   +10.97% (p=0.000 n=8)   120.90n ± 0%   -5.95% (p=0.000 n=8)   94.30n ± 0%   -26.65% (p=0.000 n=8)
Search/2M-8             148.4n ± 1%    160.4n ± 1%    +8.12% (p=0.000 n=8)    139.6n ± 0%   -5.90% (p=0.000 n=8)   105.0n ± 0%   -29.22% (p=0.000 n=8)
Search/4M-8             164.7n ± 1%    172.7n ± 3%    +4.86% (p=0.000 n=8)    156.2n ± 1%   -5.19% (p=0.000 n=8)   117.9n ± 1%   -28.42% (p=0.000 n=8)
Search/8M-8             201.9n ± 1%    226.5n ± 2%   +12.18% (p=0.000 n=8)    182.8n ± 1%   -9.46% (p=0.000 n=8)   174.8n ± 3%   -13.42% (p=0.000 n=8)
Search/32M-8            407.7n ± 0%    425.2n ± 0%    +4.29% (p=0.000 n=8)    362.6n ± 0%  -11.07% (p=0.000 n=8)   397.2n ± 0%    -2.59% (p=0.000 n=8)
Search/256M-8           618.0n ± 0%    616.6n ± 0%    -0.22% (p=0.014 n=8)    596.2n ± 0%   -3.54% (p=0.000 n=8)   621.9n ± 0%    +0.62% (p=0.001 n=8)
Search/1G-8             812.5n ± 1%    804.6n ± 1%         ~ (p=0.061 n=8)    748.3n ± 0%   -7.89% (p=0.000 n=8)   809.1n ± 1%    -0.41% (p=0.004 n=8)
geomean                 122.1n         136.5n        +11.82%                  116.2n        -4.79%                 103.6n        -15.11%
