              │ bench-binsearch.txt │          bench-bsearch.txt           │            bench-opt.txt            │           bench-opt2.txt            │           bench-quad.txt           │
              │       sec/op        │    sec/op     vs base                │    sec/op     vs base               │    sec/op     vs base               │   sec/op     vs base               │
Search/1K-8             12.25n ± 2%    25.50n ± 4%  +108.16% (p=0.000 n=8)    13.49n ± 6%  +10.08% (p=0.000 n=8)    14.01n ± 4%  +14.41% (p=0.000 n=8)   21.99n ± 0%  +79.55% (p=0.000 n=8)
Search/2K-8             35.34n ± 0%    29.00n ± 3%   -17.95% (p=0.000 n=8)    27.45n ± 1%  -22.34% (p=0.000 n=8)    22.40n ± 1%  -36.62% (p=0.000 n=8)   26.11n ± 0%  -26.12% (p=0.000 n=8)
Search/4K-8             44.27n ± 0%    43.51n ± 1%    -1.74% (p=0.000 n=8)    41.72n ± 0%   -5.77% (p=0.000 n=8)    38.24n ± 0%  -13.63% (p=0.000 n=8)   29.08n ± 0%  -34.32% (p=0.000 n=8)
Search/32K-8            58.60n ± 0%    70.92n ± 1%   +21.01% (p=0.000 n=8)    63.97n ± 0%   +9.15% (p=0.000 n=8)    60.36n ± 1%   +3.00% (p=0.000 n=8)   37.62n ± 0%  -35.81% (p=0.000 n=8)
Search/256K-8           85.11n ± 0%   106.90n ± 1%   +25.59% (p=0.000 n=8)    91.26n ± 0%   +7.22% (p=0.000 n=8)    91.31n ± 0%   +7.28% (p=0.000 n=8)   62.48n ± 0%  -26.59% (p=0.000 n=8)
Search/1M-8            126.95n ± 0%   142.95n ± 0%   +12.60% (p=0.000 n=8)   124.95n ± 0%   -1.58% (p=0.000 n=8)   124.70n ± 0%   -1.77% (p=0.000 n=8)   95.88n ± 0%  -24.48% (p=0.000 n=8)
Search/2M-8             146.0n ± 0%    161.2n ± 1%   +10.45% (p=0.000 n=8)    144.6n ± 1%   -0.99% (p=0.030 n=8)    142.1n ± 1%   -2.64% (p=0.000 n=8)   105.4n ± 0%  -27.81% (p=0.000 n=8)
Search/4M-8             161.7n ± 1%    172.7n ± 1%    +6.80% (p=0.000 n=8)    161.8n ± 1%        ~ (p=0.591 n=8)    161.2n ± 1%        ~ (p=0.109 n=8)   122.3n ± 0%  -24.37% (p=0.000 n=8)
Search/8M-8             205.6n ± 1%    237.1n ± 1%   +15.32% (p=0.000 n=8)    192.7n ± 2%   -6.30% (p=0.000 n=8)    190.8n ± 1%   -7.20% (p=0.000 n=8)   189.1n ± 1%   -8.03% (p=0.000 n=8)
Search/32M-8            408.4n ± 0%    428.2n ± 0%    +4.84% (p=0.000 n=8)    371.0n ± 1%   -9.17% (p=0.000 n=8)    370.9n ± 0%   -9.18% (p=0.000 n=8)   398.2n ± 0%   -2.50% (p=0.000 n=8)
Search/256M-8           628.9n ± 1%    628.4n ± 0%         ~ (p=0.558 n=8)    609.8n ± 1%   -3.04% (p=0.000 n=8)    615.9n ± 0%   -2.07% (p=0.000 n=8)   631.3n ± 0%        ~ (p=0.105 n=8)
Search/1G-8             823.7n ± 0%    814.5n ± 1%    -1.12% (p=0.016 n=8)    769.9n ± 1%   -6.54% (p=0.000 n=8)    799.2n ± 0%   -2.97% (p=0.000 n=8)   822.1n ± 0%        ~ (p=0.099 n=8)
geomean                 123.4n         138.6n        +12.35%                  119.9n        -2.83%                  117.0n        -5.17%                 105.5n       -14.52%
