              │ bench-binsearch.txt │          bench-bsearch.txt          │            bench-opt.txt            │           bench-opt2.txt            │           bench-quad.txt           │
              │       sec/op        │    sec/op     vs base               │    sec/op     vs base               │    sec/op     vs base               │   sec/op     vs base               │
Search/1K-8             12.65n ± 2%    25.04n ± 4%  +97.94% (p=0.000 n=8)    14.30n ± 3%  +13.04% (p=0.000 n=8)    14.48n ± 6%  +14.51% (p=0.000 n=8)   22.85n ± 1%  +80.63% (p=0.000 n=8)
Search/2K-8             34.38n ± 1%    26.70n ± 3%  -22.34% (p=0.000 n=8)    27.42n ± 1%  -20.26% (p=0.000 n=8)    21.08n ± 1%  -38.69% (p=0.000 n=8)   25.26n ± 1%  -26.53% (p=0.000 n=8)
Search/4K-8             43.54n ± 0%    42.38n ± 3%   -2.66% (p=0.000 n=8)    41.70n ± 0%   -4.23% (p=0.000 n=8)    37.15n ± 1%  -14.67% (p=0.000 n=8)   29.03n ± 0%  -33.32% (p=0.000 n=8)
Search/32K-8            57.88n ± 0%    67.97n ± 1%  +17.42% (p=0.000 n=8)    63.43n ± 1%   +9.58% (p=0.000 n=8)    60.39n ± 0%   +4.33% (p=0.000 n=8)   37.32n ± 1%  -35.53% (p=0.000 n=8)
Search/256K-8           79.12n ± 0%    96.47n ± 1%  +21.91% (p=0.000 n=8)    87.66n ± 0%  +10.78% (p=0.000 n=8)    88.27n ± 0%  +11.56% (p=0.000 n=8)   55.20n ± 2%  -30.23% (p=0.000 n=8)
Search/1M-8            131.90n ± 1%   141.90n ± 1%   +7.58% (p=0.000 n=8)   131.15n ± 1%   -0.57% (p=0.002 n=8)   146.70n ± 1%  +11.22% (p=0.000 n=8)   94.36n ± 1%  -28.46% (p=0.000 n=8)
Search/2M-8             149.8n ± 1%    156.0n ± 1%   +4.14% (p=0.000 n=8)    151.5n ± 1%   +1.20% (p=0.007 n=8)    160.2n ± 2%   +7.01% (p=0.000 n=8)   102.5n ± 0%  -31.59% (p=0.000 n=8)
Search/4M-8             160.4n ± 1%    164.6n ± 2%   +2.62% (p=0.001 n=8)    165.8n ± 1%   +3.34% (p=0.000 n=8)    170.4n ± 1%   +6.27% (p=0.000 n=8)   113.9n ± 1%  -28.96% (p=0.000 n=8)
Search/8M-8             176.2n ± 1%    191.4n ± 1%   +8.57% (p=0.000 n=8)    177.5n ± 1%   +0.68% (p=0.025 n=8)    184.4n ± 1%   +4.65% (p=0.000 n=8)   135.7n ± 1%  -23.04% (p=0.000 n=8)
Search/32M-8            456.5n ± 0%    427.4n ± 0%   -6.39% (p=0.000 n=8)    398.8n ± 0%  -12.64% (p=0.000 n=8)    413.8n ± 0%   -9.34% (p=0.000 n=8)   430.9n ± 0%   -5.62% (p=0.000 n=8)
Search/256M-8           606.7n ± 0%    592.9n ± 0%   -2.27% (p=0.000 n=8)    597.2n ± 0%   -1.56% (p=0.000 n=8)    607.7n ± 1%        ~ (p=0.245 n=8)   615.0n ± 0%   +1.38% (p=0.000 n=8)
Search/1G-8             804.2n ± 1%    785.8n ± 0%   -2.29% (p=0.000 n=8)    748.0n ± 0%   -6.98% (p=0.000 n=8)    784.6n ± 1%   -2.44% (p=0.000 n=8)   794.8n ± 0%   -1.18% (p=0.005 n=8)
geomean                 121.9n         131.1n        +7.53%                  120.6n        -1.08%                  119.9n        -1.66%                 100.7n       -17.41%
