              │ bench-binsearch.txt │          bench-bsearch.txt           │            bench-opt.txt            │           bench-opt2.txt            │           bench-quad.txt           │
              │       sec/op        │    sec/op     vs base                │    sec/op     vs base               │    sec/op     vs base               │   sec/op     vs base               │
Search/1K-8             11.71n ± 3%    24.54n ± 2%  +109.61% (p=0.000 n=8)    13.64n ± 3%  +16.53% (p=0.000 n=8)    13.88n ± 6%  +18.54% (p=0.000 n=8)   22.29n ± 1%  +90.39% (p=0.000 n=8)
Search/2K-8             35.01n ± 0%    27.71n ± 1%   -20.87% (p=0.000 n=8)    25.22n ± 1%  -27.96% (p=0.000 n=8)    21.49n ± 2%  -38.62% (p=0.000 n=8)   26.28n ± 0%  -24.95% (p=0.000 n=8)
Search/4K-8             43.93n ± 0%    42.56n ± 2%    -3.11% (p=0.000 n=8)    41.14n ± 0%   -6.34% (p=0.000 n=8)    37.39n ± 1%  -14.88% (p=0.000 n=8)   28.82n ± 0%  -34.40% (p=0.000 n=8)
Search/32K-8            58.06n ± 0%    67.74n ± 1%   +16.66% (p=0.000 n=8)    63.55n ± 3%   +9.44% (p=0.000 n=8)    60.98n ± 1%   +5.01% (p=0.000 n=8)   37.33n ± 1%  -35.71% (p=0.000 n=8)
Search/256K-8           79.26n ± 0%    96.14n ± 2%   +21.30% (p=0.000 n=8)    86.58n ± 0%   +9.24% (p=0.000 n=8)    88.91n ± 0%  +12.18% (p=0.000 n=8)   54.43n ± 1%  -31.33% (p=0.000 n=8)
Search/1M-8            132.45n ± 1%   140.10n ± 1%    +5.78% (p=0.000 n=8)   131.55n ± 1%        ~ (p=0.267 n=8)   148.00n ± 2%  +11.74% (p=0.000 n=8)   94.10n ± 1%  -28.95% (p=0.000 n=8)
Search/2M-8             149.8n ± 0%    157.5n ± 1%    +5.18% (p=0.000 n=8)    149.8n ± 1%        ~ (p=0.857 n=8)    160.4n ± 1%   +7.08% (p=0.000 n=8)   102.2n ± 0%  -31.72% (p=0.000 n=8)
Search/4M-8             162.7n ± 1%    164.9n ± 2%    +1.35% (p=0.041 n=8)    165.0n ± 1%   +1.41% (p=0.000 n=8)    170.0n ± 2%   +4.49% (p=0.000 n=8)   114.2n ± 1%  -29.81% (p=0.000 n=8)
Search/8M-8             183.3n ± 1%    194.4n ± 1%    +6.06% (p=0.000 n=8)    177.6n ± 0%   -3.11% (p=0.000 n=8)    184.8n ± 1%        ~ (p=0.064 n=8)   142.8n ± 1%  -22.09% (p=0.000 n=8)
Search/32M-8            458.0n ± 0%    432.5n ± 0%    -5.56% (p=0.000 n=8)    397.9n ± 1%  -13.13% (p=0.000 n=8)    412.7n ± 0%   -9.88% (p=0.000 n=8)   433.8n ± 0%   -5.28% (p=0.000 n=8)
Search/256M-8           606.5n ± 0%    593.1n ± 0%    -2.22% (p=0.000 n=8)    595.4n ± 0%   -1.84% (p=0.000 n=8)    607.5n ± 1%        ~ (p=0.369 n=8)   616.3n ± 1%   +1.61% (p=0.000 n=8)
Search/1G-8             804.5n ± 1%    774.6n ± 0%    -3.72% (p=0.000 n=8)    752.8n ± 1%   -6.43% (p=0.000 n=8)    776.0n ± 0%   -3.55% (p=0.000 n=8)   797.3n ± 0%   -0.90% (p=0.000 n=8)
geomean                 122.1n         131.4n         +7.64%                  118.9n        -2.56%                  119.8n        -1.84%                 101.1n       -17.14%
